Wavelength	Loss
nm	dB/m
	Bi227(K)(SM)
1412,3	2,36945
1413	2,3654
1413,7	2,35862
1414,4	2,35186
1415,1	2,34066
1415,8	2,32927
1416,5	2,31378
1417,2	2,31342
1417,9	2,30935
1418,6	2,29874
1419,3	2,28142
1420	2,26682
1420,7	2,25883
1421,4	2,2473
1422,1	2,23815
1422,8	2,21216
1423,5	2,21064
1424,2	2,20031
1424,9	2,18074
1425,6	2,18714
1426,3	2,16616
1427	2,15742
1427,7	2,13603
1428,4	2,12336
1429,1	2,1098
1429,8	2,09712
1430,5	2,0788
1431,2	2,07197
1431,9	2,06849
1432,6	2,04847
1433,3	2,03706
1434	2,02102
1434,7	2,01623
1435,4	1,99527
1436,1	1,98367
1436,8	1,97705
1437,5	1,964
1438,2	1,95293
1438,9	1,93799
1439,6	1,93178
1440,3	1,91251
1441	1,91098
1441,7	1,8824
1442,4	1,88421
1443,1	1,86712
1443,8	1,85555
1444,5	1,84575
1445,2	1,82673
1445,9	1,8216
1446,6	1,81446
1447,3	1,80262
1448	1,79333
1448,7	1,78604
1449,4	1,77597
1450,1	1,76695
1450,8	1,75337
1451,5	1,74338
1452,2	1,73871
1452,9	1,72473
1453,6	1,71406
1454,3	1,70243
1455	1,69766
1455,7	1,69229
1456,4	1,68421
1457,1	1,67318
1457,8	1,66496
1458,5	1,66952
1459,2	1,65702
1459,9	1,64352
1460,6	1,64113
1461,3	1,63291
1462	1,6306
1462,7	1,63114
1463,4	1,62068
1464,1	1,61712
1464,8	1,61034
1465,5	1,60398
1466,2	1,60329
1466,9	1,5956
1467,6	1,58972
1468,3	1,59305
1469	1,58451
1469,7	1,58343
1470,4	1,58342
1471,1	1,57484
1471,8	1,57414
1472,5	1,57135
1473,2	1,5665
1473,9	1,57289
1474,6	1,566
1475,3	1,56651
1476	1,5686
1476,7	1,56765
1477,4	1,56905
1478,1	1,56518
1478,8	1,56259
1479,5	1,56547
1480,2	1,56613
1480,9	1,56383
1481,6	1,56298
1482,3	1,56193
1483	1,56226
1483,7	1,5662
1484,4	1,56498
1485,1	1,56142
1485,8	1,56844
1486,5	1,56785
1487,2	1,5686
1487,9	1,57422
1488,6	1,57415
1489,3	1,57863
1490	1,56928
1490,7	1,5808
1491,4	1,58115
1492,1	1,58457
1492,8	1,58871
1493,5	1,59009
1494,2	1,58827
1494,9	1,58714
1495,6	1,59431
1496,3	1,5936
1497	1,60077
1497,7	1,60041
1498,4	1,60493
1499,1	1,60925
1499,8	1,6097
1500,5	1,61064
1501,2	1,61702
1501,9	1,62444
1502,6	1,62023
1503,3	1,61957
1504	1,63164
1504,7	1,63349
1505,4	1,63069
1506,1	1,64619
1506,8	1,64113
1507,5	1,64064
1508,2	1,64732
1508,9	1,65355
1509,6	1,6568
1510,3	1,65876
1511	1,65854
1511,7	1,66882
1512,4	1,67536
1513,1	1,68303
1513,8	1,68761
1514,5	1,69338
1515,2	1,69467
1515,9	1,69893
1516,6	1,70927
1517,3	1,71415
1518	1,71492
1518,7	1,72537
1519,4	1,72985
1520,1	1,73099
1520,8	1,73639
1521,5	1,74029
1522,2	1,74483
1522,9	1,75352
1523,6	1,7473
1524,3	1,75999
1525	1,76615
1525,7	1,77061
1526,4	1,76569
1527,1	1,77901
1527,8	1,7863
1528,5	1,79231
1529,2	1,79673
1529,9	1,80527
1530,6	1,81193
1531,3	1,80674
1532	1,81655
1532,7	1,81527
1533,4	1,83113
1534,1	1,82673
1534,8	1,836
1535,5	1,83984
1536,2	1,85379
1536,9	1,8571
1537,6	1,86467
1538,3	1,87212
1539	1,8802
1539,7	1,87693
1540,4	1,89093
1541,1	1,87997
1541,8	1,89323
1542,5	1,88997
1543,2	1,90439
1543,9	1,90913
1544,6	1,91232
1545,3	1,91575
1546	1,92974
1546,7	1,93851
1547,4	1,94069
1548,1	1,93863
1548,8	1,95059
1549,5	1,95914
1550,2	1,96974
1550,9	1,96725
1551,6	1,97926
1552,3	1,98555
1553	1,99037
1553,7	1,98394
1554,4	1,98653
1555,1	2,00381
1555,8	2,01277
1556,5	2,01565
1557,2	2,02713
1557,9	2,0155
1558,6	2,02629
1559,3	2,03977
1560	2,03146
1560,7	2,05012
1561,4	2,04632
1562,1	2,06391
1562,8	2,06541
1563,5	2,0766
1564,2	2,06812
1564,9	2,07036
1565,6	2,08395
1566,3	2,08339
1567	2,09386
1567,7	2,09363
1568,4	2,10072
1569,1	2,11595
1569,8	2,1249
1570,5	2,11254
1571,2	2,13326
1571,9	2,13375
1572,6	2,13262
1573,3	2,14124
1574	2,15972
1574,7	2,15509
1575,4	2,159
1576,1	2,16273
1576,8	2,16485
1577,5	2,17467
1578,2	2,16175
1578,9	2,19529
1579,6	2,18079
1580,3	2,18343
1581	2,18869
1581,7	2,20978
1582,4	2,21507
1583,1	2,19914
1583,8	2,20661
1584,5	2,22162
1585,2	2,22821
1585,9	2,23699
1586,6	2,22513
